2023-05-19 22:39:57,217 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:39:57,220 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:40:01,897 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 22:42:21,000 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 22:46:41,789 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 22:46:41,789 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 22:46:41,791 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 22:46:41,793 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 22:46:41,797 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 22:46:41,801 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:46:51,821 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 22:46:52,854 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 22:46:52,855 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:47:02,869 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 22:47:03,883 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 22:47:03,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 22:47:13,916 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 22:47:14,929 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
